Element ID;Cost;Flamability;Classification of Flammability;Count;Auto-ignition Temperature;Weight;Description;Diameter;Family;Family and Type;Finish;Internal Current;Voltage;W;Waste Connection NPT;Width;URL
990648;;;;1;;;;;Dining Chair (3);Dining Chair (3): Dining Chair (3);;;;;;;
993091;;;;1;;;;;Wine Bottles;Wine Bottles: Wine Bottles;;;;;;;
993980;;;;1;;;;;aalto vase - tall;aalto vase - tall: White;;;;;;;
994782;;;;1;;;;;White Porcelain Plate;White Porcelain Plate: Fine China - Plate;;;;;;;
996881;;;;1;;;;;Water Glass;Water Glass: Water Glass;;;;;;;
997032;;;;1;;;;;White Porcelain Plate;White Porcelain Plate: Fine China - Plate;;;;;;;
997033;;;;1;;;;;Water Glass;Water Glass: Water Glass;;;;;;;
997050;;;;1;;;;;White Porcelain Plate;White Porcelain Plate: Fine China - Plate;;;;;;;
997051;;;;1;;;;;Water Glass;Water Glass: Water Glass;;;;;;;
997068;;;;1;;;;;White Porcelain Plate;White Porcelain Plate: Fine China - Plate;;;;;;;
997069;;;;1;;;;;Water Glass;Water Glass: Water Glass;;;;;;;
997114;;;;1;;;;;White Porcelain Plate;White Porcelain Plate: Fine China - Plate;;;;;;;
997115;;;;1;;;;;Water Glass;Water Glass: Water Glass;;;;;;;
997116;;;;1;;;;;White Porcelain Plate;White Porcelain Plate: Fine China - Plate;;;;;;;
997117;;;;1;;;;;Water Glass;Water Glass: Water Glass;;;;;;;
997118;;;;1;;;;;White Porcelain Plate;White Porcelain Plate: Fine China - Plate;;;;;;;
997119;;;;1;;;;;Water Glass;Water Glass: Water Glass;;;;;;;
997120;;;;1;;;;;White Porcelain Plate;White Porcelain Plate: Fine China - Plate;;;;;;;
997121;;;;1;;;;;Water Glass;Water Glass: Water Glass;;;;;;;
